query,status,timestamp,website_id,Sum of id,Sum of response_time,Sum of user_session,results
What should I use for dry lips?,success,2025-03-04 06:26:08,208,57,1.51,120,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 06:26:07,208,56,1.12,120,https://avon.uk.com/collections/lip-balm
"I want a face mask for glowing skin, preferably under £5. What do you suggest?",success,2025-03-04 06:16:14,208,55,1.18,120,https://avon.uk.com/collections/face-masks?pf_p_price=%3A5
"I want a face mask for glowing skin, preferably under £5. What do you suggest?",success,2025-03-04 06:16:13,208,54,1.82,120,https://avon.uk.com/collections/face-masks?pf_p_price=%3A5
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 05:33:33,208,53,1.21,119,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 05:33:31,208,52,1.6,119,https://avon.uk.com/collections/blusher?sort=price-ascending
What should I use for dry lips?,success,2025-03-04 05:22:35,208,51,1.25,119,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 05:22:33,208,50,1.31,119,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 05:21:51,208,49,1.58,119,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 05:21:50,208,48,5.22,119,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 04:39:43,208,47,1.1,117,https://avon.uk.com/collections/lip-balm
What should I use for dry lips?,success,2025-03-04 04:39:42,208,46,1.54,117,https://avon.uk.com/collections/lip-balm
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:36:48,208,45,1.6,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:36:47,208,44,1.41,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:50,208,43,4.4,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:45,208,42,1.22,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:09,208,41,1.45,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:07,208,40,1.66,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:06,208,39,1.22,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:35:04,208,38,1.47,117,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:34:07,208,37,1.97,118,https://avon.uk.com/collections/blusher?sort=price-ascending
Can you show me some blushers sorted from lowest to highest price?,success,2025-03-04 04:34:05,208,36,1.21,118,https://avon.uk.com/collections/blusher?sort=price-ascending
I'm looking for a skincare set as a gift. Something under £30 would be perfect!,success,2025-03-04 04:33:23,208,35,1.98,118,https://avon.uk.com/collections/skincare-sets?pf_p_price=%3A30
I'm looking for a skincare set as a gift. Something under £30 would be perfect!,success,2025-03-04 04:33:21,208,34,5.21,118,https://avon.uk.com/collections/skincare-sets?pf_p_price=%3A30
Can you show me some of your newest skincare products?​,success,2025-03-04 04:32:52,208,33,1.87,117,https://avon.uk.com/collections/skincare
Can you show me some of your newest skincare products?​,success,2025-03-04 04:32:50,208,32,1.27,117,https://avon.uk.com/collections/skincare?sort=created-descending
Can you show me some of your newest skincare products?,success,2025-03-04 04:32:32,208,31,1.07,118,https://avon.uk.com/collections/skincare
Can you show me some of your newest skincare products?,success,2025-03-04 04:32:31,208,30,1.09,118,https://avon.uk.com/collections/skincare
